account_id,customer_id,branch_id,country,currency,account_type,account_status,iban,opening_balance,current_balance,interest_rate,overdraft_limit,opened_date
ACC00000117,CUS00000080,BR000011,Canada,Canada,Business,Active,CA99NGB8668957463041221,108800,185341.48,0.53,33603,2022-11-03
ACC00000118,CUS00000080,BR000011,Canada,Canada,Current,Active,CA99NGB3855855128504484,24311,41276.56,0.29,1991,2021-04-08
ACC00000119,CUS00000081,BR000037,United Kingdom,United Kingdom,Savings,Active,UN99NGB2956528962479773,13630,27611.74,4.62,0,2024-04-23
ACC00000120,CUS00000082,BR000029,Australia,Australia,Current,Active,AU99NGB3101184657431210,30477,65910.01,0.18,1538,2020-12-22
ACC00000121,CUS00000082,BR000029,Australia,Australia,Savings,Active,AU99NGB3296984173853130,18734,22361.1,2.25,0,2022-05-01
ACC00000122,CUS00000083,BR000014,Switzerland,Switzerland,Current,Active,SW99NGB6818231753545170,15718,25232.51,0.38,4298,2023-12-28
ACC00000123,CUS00000084,BR000045,Canada,Canada,Business,Active,CA99NGB6429991722756713,52472,69355.53,1.16,39192,2023-01-12
ACC00000124,CUS00000085,BR000002,Germany,Germany,Savings,Active,GE99NGB7399437618428852,7580,4460.36,4.15,0,2020-07-15
ACC00000125,CUS00000086,BR000043,France,France,Savings,Active,FR99NGB8171280853029900,9855,20483.36,2.5,0,2018-01-11
ACC00000126,CUS00000087,BR000037,United Kingdom,United Kingdom,Current,Active,UN99NGB9795538067305286,20359,22783.56,0.48,1784,2024-12-27
ACC00000127,CUS00000088,BR000049,Singapore,Singapore,Savings,Active,SI99NGB6481172543922509,14475,18607.48,4.21,0,2023-10-05
ACC00000128,CUS00000088,BR000049,Singapore,Singapore,Savings,Active,SI99NGB5554711101168790,3404,1482.5,4.84,0,2021-07-16
ACC00000129,CUS00000089,BR000034,United Arab Emirates,United Arab Emirates,Savings,Active,UN99NGB4247392223285683,5745,9595.45,2.39,0,2016-10-03
ACC00000130,CUS00000089,BR000034,United Arab Emirates,United Arab Emirates,Savings,Active,UN99NGB9255561245947318,19395,15387.2,4.45,0,2019-06-08
ACC00000131,CUS00000090,BR000036,Singapore,Singapore,Current,Active,SI99NGB4597492741462214,48310,44940.09,0.17,4310,2021-04-28
ACC00000132,CUS00000091,BR000046,Japan,Japan,Current,Active,JA99NGB5712339430262781,14008,24425.83,0.19,6890,2025-10-02
ACC00000133,CUS00000092,BR000002,Germany,Germany,Savings,Active,GE99NGB8148614023938953,17901,19768.87,2.13,0,2022-12-20
ACC00000134,CUS00000093,BR000016,France,France,Savings,Active,FR99NGB9426801695885545,18715,31392.82,2.67,0,2022-03-12
ACC00000135,CUS00000094,BR000018,United Kingdom,United Kingdom,Savings,Active,UN99NGB8169086578349448,15779,31647.19,4.39,0,2024-07-29
ACC00000136,CUS00000095,BR000004,United States,United States,Savings,Active,UN99NGB5644242893226658,16759,22281.0,4.83,0,2023-11-29
ACC00000137,CUS00000096,BR000014,Switzerland,Switzerland,Savings,Closed,SW99NGB3870854106149296,7902,16133.12,2.72,0,2019-10-17
ACC00000138,CUS00000096,BR000014,Switzerland,Switzerland,Savings,Active,SW99NGB3462336306189615,17795,11889.58,4.98,0,2025-02-22
ACC00000139,CUS00000097,BR000048,Germany,Germany,Savings,Active,GE99NGB5426619427881479,7030,12666.17,3.68,0,2019-09-05
ACC00000140,CUS00000097,BR000048,Germany,Germany,Current,Active,GE99NGB3778830590018179,47431,45231.08,0.44,887,2018-03-09
ACC00000141,CUS00000098,BR000021,United Kingdom,United Kingdom,Current,Active,UN99NGB1499924755196405,4003,7515.25,0.3,1475,2018-03-07
ACC00000142,CUS00000099,BR000018,United Kingdom,United Kingdom,Savings,Active,UN99NGB2712361889283297,15129,29666.37,3.0,0,2017-04-28
ACC00000143,CUS00000100,BR000017,Australia,Australia,Savings,Active,AU99NGB2882310014967793,13075,22009.98,3.96,0,2025-08-08
ACC00000144,CUS00000100,BR000017,Australia,Australia,Savings,Active,AU99NGB1761421598371642,13248,6919.85,2.54,0,2017-05-19
ACC00000145,CUS00000100,BR000017,Australia,Australia,Business,Active,AU99NGB4933766198533839,420808,795668.94,1.75,39346,2022-09-20
ACC00000146,CUS00000101,BR000049,Singapore,Singapore,Savings,Active,SI99NGB9653569498607978,9519,12516.99,4.31,0,2023-10-11
ACC00000147,CUS00000102,BR000043,France,France,Current,Active,FR99NGB5049650340651947,28300,26690.33,0.17,7768,2022-07-18
ACC00000148,CUS00000103,BR000022,United Arab Emirates,United Arab Emirates,Current,Active,UN99NGB4521954410912830,32068,24542.89,0.38,1619,2023-06-01
ACC00000149,CUS00000104,BR000030,Germany,Germany,Savings,Active,GE99NGB7536510290358221,8853,15745.96,3.79,0,2020-01-02
ACC00000150,CUS00000105,BR000009,Singapore,Singapore,Current,Active,SI99NGB8647025653427568,39546,26857.73,0.21,8868,2022-01-31
ACC00000151,CUS00000106,BR000003,United Arab Emirates,United Arab Emirates,Business,Active,UN99NGB8270325758269489,363290,747462.77,1.74,68472,2018-03-12
ACC00000152,CUS00000107,BR000045,Canada,Canada,Savings,Active,CA99NGB9456852013812032,16180,17609.76,2.78,0,2025-08-31
ACC00000153,CUS00000107,BR000045,Canada,Canada,Business,Active,CA99NGB8908983241180106,419458,259449.04,1.02,35331,2019-03-07
ACC00000154,CUS00000107,BR000045,Canada,Canada,Savings,Active,CA99NGB8184459613333207,4684,6356.49,4.35,0,2021-01-31
ACC00000155,CUS00000108,BR000005,Germany,Germany,Current,Active,GE99NGB2609995929275307,23402,16978.4,0.11,6667,2019-12-29
ACC00000156,CUS00000108,BR000005,Germany,Germany,Savings,Active,GE99NGB3746755191004948,8751,8872.54,4.47,0,2021-09-20
ACC00000157,CUS00000109,BR000012,United States,United States,Business,Active,UN99NGB4224857382995412,416354,906449.85,1.36,89305,2021-04-07
ACC00000158,CUS00000110,BR000043,France,France,Savings,Active,FR99NGB6209601438207490,10277,15734.95,2.51,0,2026-07-05
ACC00000159,CUS00000111,BR000014,Switzerland,Switzerland,Savings,Active,SW99NGB8893181393507897,8922,17788.61,3.48,0,2024-10-20
ACC00000160,CUS00000112,BR000007,Australia,Australia,Savings,Active,AU99NGB7958175090984322,866,452.5,3.69,0,2017-11-19
ACC00000161,CUS00000112,BR000007,Australia,Australia,Current,Active,AU99NGB5865452818687377,40759,28363.34,0.22,4965,2020-02-11
ACC00000162,CUS00000113,BR000020,Switzerland,Switzerland,Current,Active,SW99NGB3101770239631096,35043,42448.95,0.43,6286,2023-08-09
ACC00000163,CUS00000114,BR000044,Switzerland,Switzerland,Business,Active,SW99NGB5198694153448382,428021,376540.48,0.54,86415,2021-11-19
ACC00000164,CUS00000115,BR000018,United Kingdom,United Kingdom,Savings,Active,UN99NGB1546625986606043,10917,10472.87,4.62,0,2019-11-28
ACC00000165,CUS00000115,BR000018,United Kingdom,United Kingdom,Savings,Active,UN99NGB4821858175174490,9004,16893.62,3.61,0,2018-06-16
ACC00000166,CUS00000116,BR000013,Australia,Australia,Savings,Active,AU99NGB2795701777082951,18783,29025.14,2.14,0,2020-10-22
ACC00000167,CUS00000117,BR000016,France,France,Current,Active,FR99NGB2003699942293724,44068,31437.14,0.08,7695,2025-07-27
ACC00000168,CUS00000117,BR000016,France,France,Savings,Dormant,FR99NGB4074853351956322,18518,22610.24,3.44,0,2019-11-12
ACC00000169,CUS00000118,BR000011,Canada,Canada,Savings,Active,CA99NGB5266843559837416,13727,9366.59,4.22,0,2021-11-22
ACC00000170,CUS00000118,BR000011,Canada,Canada,Current,Active,CA99NGB7293312585738601,16371,28415.06,0.36,3735,2025-04-21
ACC00000171,CUS00000119,BR000045,Canada,Canada,Savings,Active,CA99NGB8810442761541146,2969,4229.33,4.53,0,2023-10-20
ACC00000172,CUS00000120,BR000008,France,France,Savings,Active,FR99NGB5913789295198057,6057,5810.4,4.02,0,2025-07-05
ACC00000173,CUS00000120,BR000008,France,France,Savings,Active,FR99NGB2551876452413363,19413,30235.53,3.29,0,2021-01-27
ACC00000174,CUS00000121,BR000032,United Kingdom,United Kingdom,Savings,Dormant,UN99NGB2633438898023668,5042,3651.83,3.39,0,2024-08-14
ACC00000175,CUS00000121,BR000032,United Kingdom,United Kingdom,Savings,Dormant,UN99NGB4962809229611006,16688,18835.31,4.93,0,2019-08-12
ACC00000176,CUS00000122,BR000012,United States,United States,Current,Active,UN99NGB4236350503337930,7717,8537.79,0.22,4885,2023-03-07
ACC00000177,CUS00000123,BR000047,United Arab Emirates,United Arab Emirates,Savings,Active,UN99NGB9976465823610207,15445,21100.93,4.08,0,2020-09-06
ACC00000178,CUS00000124,BR000010,Singapore,Singapore,Savings,Active,SI99NGB8001429009182601,1348,2444.28,2.57,0,2019-06-22
ACC00000179,CUS00000125,BR000048,Germany,Germany,Savings,Active,GE99NGB7810473026243679,9327,5889.42,2.86,0,2022-05-03
ACC00000180,CUS00000126,BR000031,Canada,Canada,Savings,Active,CA99NGB6020353196944199,10811,14402.52,2.56,0,2024-11-27
ACC00000181,CUS00000127,BR000044,Switzerland,Switzerland,Savings,Dormant,SW99NGB8411449042387157,3260,3913.0,4.35,0,2021-05-20
ACC00000182,CUS00000128,BR000021,United Kingdom,United Kingdom,Savings,Active,UN99NGB2887299326554052,14506,31264.17,3.82,0,2018-03-04
ACC00000183,CUS00000129,BR000041,United Arab Emirates,United Arab Emirates,Current,Active,UN99NGB2453332304875689,20512,19750.7,0.28,3664,2017-07-01
ACC00000184,CUS00000130,BR000027,France,France,Business,Active,FR99NGB7731518296447731,468397,375292.19,1.04,41860,2019-07-13
ACC00000185,CUS00000131,BR000040,United Kingdom,United Kingdom,Savings,Dormant,UN99NGB4634387144356196,3401,1562.81,2.48,0,2018-09-07
ACC00000186,CUS00000131,BR000040,United Kingdom,United Kingdom,Savings,Active,UN99NGB6141680795482333,2761,2556.74,3.77,0,2024-03-01
ACC00000187,CUS00000132,BR000039,France,France,Current,Active,FR99NGB5799567664540861,31882,15179.05,0.05,8365,2025-07-26
ACC00000188,CUS00000132,BR000039,France,France,Current,Active,FR99NGB8220279252641729,9254,9859.61,0.1,1173,2019-01-24
ACC00000189,CUS00000133,BR000006,United Arab Emirates,United Arab Emirates,Savings,Active,UN99NGB8879415558281207,12653,13906.08,4.74,0,2022-11-03
ACC00000190,CUS00000133,BR000006,United Arab Emirates,United Arab Emirates,Savings,Dormant,UN99NGB5508575076171789,17221,22871.4,4.41,0,2017-02-23
ACC00000191,CUS00000134,BR000028,United Arab Emirates,United Arab Emirates,Savings,Active,UN99NGB5573485529384227,10340,22431.04,2.94,0,2017-08-20
ACC00000192,CUS00000135,BR000018,United Kingdom,United Kingdom,Savings,Active,UN99NGB8741104797141238,13731,28499.38,2.58,0,2016-09-02
ACC00000193,CUS00000135,BR000018,United Kingdom,United Kingdom,Savings,Active,UN99NGB8064416796207963,6820,9658.26,3.9,0,2022-06-30
ACC00000194,CUS00000136,BR000044,Switzerland,Switzerland,Savings,Active,SW99NGB1687872325712959,19523,18159.3,3.85,0,2019-06-24
ACC00000195,CUS00000137,BR000030,Germany,Germany,Current,Active,GE99NGB6978090255681064,18455,22227.52,0.48,6090,2025-03-17
ACC00000196,CUS00000138,BR000035,Canada,Canada,Current,Active,CA99NGB2068857908679546,4916,7061.99,0.37,8735,2021-11-29
ACC00000197,CUS00000139,BR000049,Singapore,Singapore,Business,Active,SI99NGB7815789204630479,133000,175677.41,1.58,90634,2017-03-10
ACC00000198,CUS00000140,BR000045,Canada,Canada,Savings,Active,CA99NGB8028391645316873,1841,1083.87,4.67,0,2021-06-16
