customer_id,first_name,last_name,gender,date_of_birth,age,email,phone,country,city,branch_id,occupation,annual_income,customer_segment,risk_profile,kyc_status,join_date
CUS00000015,Victoria,Carr,Female,1997-10-28,28,gibsonolivia@example.net,567.463.2016,Singapore,Singapore,BR000036,Entrepreneur,84760,Premium,Medium,Verified,2025-05-04
CUS00000016,Julie,Grant,Female,2007-12-18,18,bryantlaurie@example.net,589.657.9868x72774,United States,Chicago,BR000023,Teacher,172577,Private Banking,Low,Verified,2025-05-25
CUS00000017,John,Allen,Male,1975-06-19,51,reevesjimmy@example.com,981-822-3623x16658,Singapore,Singapore,BR000049,Research Scientist,125914,Premium,Low,Verified,2017-08-02
CUS00000018,Daniel,Fisher,Male,2007-02-07,19,gateskathy@example.com,805.946.6889x3734,France,Marseille,BR000039,Sales Executive,38572,Retail,Low,Verified,2017-01-08
CUS00000019,James,Caldwell,Male,1999-11-04,26,dramsey@example.org,+1-280-669-9016x272,Canada,Vancouver,BR000011,Marketing Manager,47455,Retail,Low,Verified,2022-12-23
CUS00000020,Garrett,Gibson,Male,1968-06-30,58,aramirez@example.com,270-580-5310,Switzerland,Geneva,BR000025,Business Consultant,131657,Premium,Low,Verified,2019-12-02
CUS00000021,Ryan,Howell,Male,1961-10-06,64,thomaswilson@example.org,645.829.9124x190,Germany,Frankfurt,BR000005,Sales Executive,110880,Premium,Low,Verified,2023-04-11
CUS00000022,Teresa,Gonzalez,Female,1985-10-27,40,curtisbarton@example.net,+1-819-905-8651x850,Canada,Montreal,BR000035,Doctor,74179,Retail,Low,Verified,2018-04-28
CUS00000023,Jessica,Cox,Female,2006-03-15,20,bzimmerman@example.org,001-684-998-7769x4531,France,Paris,BR000008,Teacher,83876,Premium,Low,Verified,2020-09-04
CUS00000024,Nicole,Hudson,Female,1990-12-31,35,frogers@example.com,(273)554-5494,Canada,Montreal,BR000045,Entrepreneur,138548,Premium,Low,Verified,2017-12-25
CUS00000025,David,Russell,Male,1983-04-23,43,hannahbrewer@example.com,701.843.6349x578,Singapore,Singapore,BR000049,Marketing Manager,59602,Retail,Low,Verified,2025-11-21
CUS00000026,Erin,Warner,Female,1963-12-19,62,john13@example.com,682-333-7498,United Kingdom,Manchester,BR000040,Entrepreneur,44016,Retail,Low,Verified,2019-10-31
CUS00000027,Elizabeth,Ward,Female,1966-02-05,60,ericksondavid@example.org,9849271094,Japan,Tokyo,BR000042,Marketing Manager,10993959,Private Banking,Medium,Verified,2024-01-08
CUS00000028,Glen,Sheppard,Male,1962-09-17,63,ewilson@example.com,519.802.2941x3186,United Kingdom,Manchester,BR000037,Student,122538,Premium,Low,Verified,2024-03-11
CUS00000029,Terry,Evans,Male,1985-07-30,40,ntorres@example.org,+1-213-834-1232x812,Germany,Frankfurt,BR000048,Lawyer,52601,Retail,Low,Verified,2024-03-11
CUS00000030,Michael,Harrison,Male,1947-10-02,78,keithcampbell@example.com,434-693-6183,Switzerland,Geneva,BR000025,Lawyer,141394,Premium,Low,Verified,2018-12-12
CUS00000031,Benjamin,Martin,Male,1966-06-18,60,scott74@example.net,(248)387-7190x6594,Australia,Melbourne,BR000024,Accountant,140111,Premium,Medium,Verified,2020-06-03
CUS00000032,Tonya,Huff,Female,1984-09-02,41,keyemily@example.com,001-802-978-7429,Switzerland,Geneva,BR000025,Data Analyst,83316,Premium,Low,Verified,2018-01-29
CUS00000033,John,Ortiz,Male,1967-05-18,59,hodgemark@example.net,246.980.7154x5168,France,Marseille,BR000039,Financial Analyst,32464,Retail,Medium,Verified,2023-07-23
CUS00000034,Amy,Stone,Female,1987-11-25,38,wgarrett@example.org,548.424.7710,Switzerland,Geneva,BR000014,Research Scientist,112357,Premium,Low,Verified,2021-10-24
CUS00000035,Juan,Tran,Male,1951-11-15,74,victoriadurham@example.com,527-948-4677,France,Paris,BR000016,Data Analyst,46663,Retail,High,Verified,2025-11-27
CUS00000036,Charles,Lee,Male,1986-04-26,40,michellehill@example.com,784-804-4997x27875,United States,New York,BR000004,Student,54444,Retail,Low,Verified,2024-04-10
CUS00000037,Tasha,Kane,Female,1992-12-29,33,ashleyhall@example.com,7573662702,Australia,Brisbane,BR000026,Software Engineer,66704,Retail,Low,Verified,2024-01-07
CUS00000038,Brett,Lozano,Male,1946-07-29,79,robertpena@example.org,874-759-6158,France,Marseille,BR000039,Doctor,78898,Retail,Low,Verified,2024-10-30
CUS00000039,Shelia,Johnson,Female,1950-03-09,76,crystalmccall@example.org,001-716-711-7240x0504,France,Paris,BR000027,Entrepreneur,105385,Premium,Medium,Pending,2023-11-09
CUS00000040,Charles,Schmidt,Male,1984-01-16,42,georgemiller@example.com,+1-637-492-3747x407,United States,Chicago,BR000023,Student,107059,Premium,Low,Verified,2017-10-13
CUS00000041,Jeremy,Reed,Male,1985-07-07,41,danielle64@example.com,836-671-3695x9440,United Arab Emirates,Dubai,BR000003,Software Engineer,296161,Private Banking,Low,Verified,2016-08-31
CUS00000042,Kylie,Jennings,Female,1996-03-15,30,lozanojulie@example.com,001-739-453-3942x10470,Japan,Tokyo,BR000042,Accountant,10729636,Private Banking,Medium,Verified,2018-01-23
CUS00000043,Susan,Murphy,Female,1973-10-21,52,jamesbuchanan@example.com,784.324.7451x71236,Singapore,Singapore,BR000010,Nurse,70866,Retail,Medium,Verified,2023-03-29
CUS00000044,Adrian,Herrera,Male,1976-06-23,50,emily49@example.com,+1-651-837-0985x9317,United Kingdom,Manchester,BR000037,Doctor,96694,Premium,Low,Verified,2018-07-06
CUS00000045,Brenda,Shah,Female,1966-03-30,60,pwilson@example.net,(367)958-6926,France,Paris,BR000016,Student,72001,Retail,Medium,Verified,2023-06-21
CUS00000046,Todd,Ramirez,Male,1992-07-03,34,jeff73@example.com,958-350-6431,Switzerland,Geneva,BR000014,Business Consultant,120627,Premium,Low,Verified,2020-02-19
CUS00000047,Maria,Harper,Female,1946-12-25,79,buchananjohn@example.org,001-431-283-9335,Germany,Frankfurt,BR000048,Accountant,81025,Premium,Low,Verified,2021-03-30
CUS00000048,Shannon,Thomas,Female,1954-05-17,72,lauren10@example.org,4538950240,France,Marseille,BR000019,Data Analyst,35617,Retail,Medium,Verified,2025-06-23
CUS00000049,Ashley,Brown,Female,1976-01-13,50,william17@example.net,890.884.7007,Japan,Tokyo,BR000042,Data Analyst,4320924,Private Banking,Low,Verified,2018-05-13
CUS00000050,Katherine,Browning,Female,1950-07-13,76,morriseddie@example.org,899-385-6984x789,Canada,Toronto,BR000050,Sales Executive,97199,Premium,High,Verified,2018-06-22
CUS00000051,Samuel,Curtis,Male,1997-11-09,28,russellbeasley@example.com,376-361-5654x52711,United Kingdom,Manchester,BR000018,Software Engineer,68386,Retail,Medium,Verified,2023-11-16
CUS00000052,Brent,Rodgers,Male,2000-10-08,25,angelawillis@example.net,+1-651-765-6049,Canada,Montreal,BR000045,Business Consultant,87739,Premium,Low,Verified,2018-04-16
CUS00000053,Laura,Lewis,Female,1990-03-22,36,gwalker@example.com,+1-251-649-3689,United Arab Emirates,Abu Dhabi,BR000047,Accountant,244582,Private Banking,Medium,Verified,2017-01-07
CUS00000054,Catherine,Park,Female,1966-07-22,59,michael22@example.net,+1-661-720-1836x67525,Switzerland,Geneva,BR000014,Lawyer,202939,Private Banking,Low,Verified,2026-03-08
CUS00000055,Linda,Ware,Female,1956-02-12,70,karenwilliams@example.org,876-379-7643x815,Australia,Melbourne,BR000017,Teacher,122667,Premium,Low,Verified,2021-05-07
CUS00000056,Megan,Watkins,Female,1981-05-22,45,brandon69@example.org,2349324451,United Arab Emirates,Dubai,BR000006,Sales Executive,171240,Private Banking,Low,Verified,2023-11-08
CUS00000057,Christopher,James,Male,1993-05-31,33,vincentwhitaker@example.com,860-860-7159,France,Marseille,BR000039,Lawyer,71829,Retail,Low,Verified,2023-08-20
CUS00000058,Donna,Sullivan,Female,1967-08-19,58,lauriemontgomery@example.net,(716)513-6968x164,Canada,Toronto,BR000001,Project Manager,100946,Premium,Low,Verified,2022-03-12
CUS00000059,Peggy,Jones,Female,1988-08-14,37,schmidtjames@example.com,(923)912-4329x212,United Arab Emirates,Dubai,BR000041,Accountant,168967,Private Banking,Low,Verified,2026-02-12
CUS00000060,Olivia,Cole,Female,2008-06-01,18,michelle52@example.com,377-644-9058,Australia,Sydney,BR000013,Student,62240,Retail,High,Verified,2024-05-20
CUS00000061,Jodi,Brown,Female,2002-02-15,24,chase19@example.net,267.998.0793x59782,France,Marseille,BR000019,Nurse,61444,Retail,Low,Verified,2018-04-16
CUS00000062,Robert,Monroe,Male,1994-02-20,32,wagnergerald@example.org,001-777-288-9255x466,United States,Chicago,BR000023,Sales Executive,169554,Private Banking,Medium,Verified,2022-03-22
CUS00000063,Andrea,Davis,Female,1991-09-11,34,umitchell@example.net,+1-625-819-2546x291,United Kingdom,Manchester,BR000018,Sales Executive,117544,Premium,Low,Verified,2022-02-12
CUS00000064,Robin,Santiago,Female,2001-12-09,24,lucasrodney@example.com,4544235733,Switzerland,Geneva,BR000025,Doctor,174766,Private Banking,Low,Verified,2017-11-03
CUS00000065,Edward,French,Male,1980-01-29,46,stanleynancy@example.net,(296)822-2927,United Kingdom,Manchester,BR000037,Business Consultant,137029,Premium,Low,Verified,2022-09-22
CUS00000066,Megan,Young,Female,1975-10-04,50,karen73@example.net,847.835.9774,Australia,Sydney,BR000013,Marketing Manager,56582,Retail,Low,Verified,2019-04-14
CUS00000067,Ruth,Solis,Female,1954-12-12,71,brett75@example.net,481-841-2478,Germany,Berlin,BR000030,Nurse,52477,Retail,Low,Verified,2018-02-01
CUS00000068,Theresa,Walker,Female,1976-03-24,50,sarah60@example.com,653.961.5305x15220,United Arab Emirates,Dubai,BR000038,Sales Executive,312035,Private Banking,Medium,Verified,2018-11-21
CUS00000069,Olivia,Harrison,Female,1987-05-28,39,bullockandrew@example.org,(389)286-1434,Japan,Tokyo,BR000042,Entrepreneur,10967319,Private Banking,Low,Verified,2020-08-01
CUS00000070,Jennifer,Bauer,Female,1976-08-20,49,rodriguezrebecca@example.net,+1-708-593-2460,United Arab Emirates,Abu Dhabi,BR000028,Lawyer,315966,Private Banking,Medium,Verified,2026-03-27
CUS00000071,Jennifer,Beck,Female,1951-05-10,75,carlos88@example.net,380.767.0654x05153,Canada,Toronto,BR000031,Nurse,140376,Premium,Low,Verified,2018-10-18
CUS00000072,Amanda,Payne,Female,2000-11-20,25,mariacohen@example.net,822.917.0430x3054,Singapore,Singapore,BR000010,Data Analyst,107654,Premium,Medium,Verified,2020-11-02
CUS00000073,Amanda,Lucas,Female,1964-12-31,61,michelle05@example.com,956-767-6527,Singapore,Singapore,BR000009,Entrepreneur,91904,Premium,Low,Verified,2025-05-12
CUS00000074,Derek,Miller,Male,1974-06-01,52,jordanwanda@example.org,+1-845-411-5447,Australia,Brisbane,BR000026,Research Scientist,100205,Premium,Low,Verified,2024-01-30
CUS00000075,Heather,Williams,Female,2004-09-25,21,christina64@example.net,9162582029,Singapore,Singapore,BR000049,Financial Analyst,103424,Premium,Low,Verified,2018-09-04
CUS00000076,Austin,Osborne,Male,1970-06-17,56,patrick90@example.net,(775)857-1928,Canada,Toronto,BR000015,Business Consultant,149168,Premium,Low,Verified,2021-11-16
CUS00000077,Matthew,Wright,Male,1953-04-01,73,fitzgeraldvictor@example.com,+1-514-347-3947,United States,Chicago,BR000023,Project Manager,144714,Premium,Low,Verified,2018-11-02
CUS00000078,Sarah,Hayes,Female,2006-09-07,19,zosborn@example.net,451-588-4422x58313,Germany,Berlin,BR000030,Marketing Manager,89921,Premium,Medium,Verified,2024-12-06
CUS00000079,Alexander,Spencer,Male,1970-08-20,55,jlara@example.org,+1-711-346-7866x912,Australia,Melbourne,BR000033,Doctor,113993,Premium,Low,Verified,2024-03-08
CUS00000080,Julie,Holmes,Female,1954-04-06,72,katrinaanderson@example.net,7186242253,Canada,Vancouver,BR000011,Accountant,84057,Premium,Low,Verified,2017-11-14
CUS00000081,David,Reid,Male,1983-01-06,43,david49@example.net,782-299-2299,United Kingdom,Manchester,BR000037,Entrepreneur,96261,Premium,Low,Verified,2017-01-04
CUS00000082,Brad,Fry,Male,1997-12-30,28,debra96@example.net,+1-407-984-4736x4710,Australia,Brisbane,BR000029,Business Consultant,168872,Private Banking,Low,Verified,2023-08-07
CUS00000083,John,Harris,Male,1986-10-24,39,larryhiggins@example.net,(962)558-8153x714,Switzerland,Geneva,BR000014,Teacher,182358,Private Banking,Medium,Verified,2018-12-04
CUS00000084,Anne,Roberts,Female,1971-09-03,54,kwright@example.com,001-953-227-8774,Canada,Montreal,BR000045,Financial Analyst,89689,Premium,Low,Verified,2018-01-22
CUS00000085,Theresa,Wagner,Female,1961-11-29,64,brandywilliams@example.com,297.848.0162x4565,Germany,Berlin,BR000002,Nurse,71471,Retail,High,Verified,2017-05-25
CUS00000086,Kelly,Lee,Male,1983-03-06,43,charles87@example.net,599-812-1655x852,France,Paris,BR000043,Software Engineer,93644,Premium,Medium,Verified,2025-01-13
CUS00000087,Amanda,Williams,Female,1994-02-02,32,linda87@example.org,+1-982-659-5269x495,United Kingdom,Manchester,BR000037,Accountant,64389,Retail,Low,Pending,2024-08-09
CUS00000088,Robert,Richardson,Male,1991-05-20,35,whitneybrandy@example.net,001-809-474-9930x972,Singapore,Singapore,BR000049,Software Engineer,148858,Premium,High,Verified,2020-08-24
CUS00000089,Andre,Vaughan,Male,1953-01-03,73,andrewedwards@example.org,(836)789-7028x38578,United Arab Emirates,Abu Dhabi,BR000034,Doctor,159892,Private Banking,Low,Verified,2019-06-23
CUS00000090,Joe,Patel,Male,1982-09-14,43,erica49@example.com,934.784.3443,Singapore,Singapore,BR000036,Research Scientist,110952,Premium,Low,Verified,2024-09-09
CUS00000091,Gregory,Peck,Male,1999-08-28,26,keith98@example.com,(652)640-4157x4733,Japan,Kyoto,BR000046,Student,10524591,Private Banking,Low,Verified,2018-11-11
CUS00000092,Brian,Yang,Male,1961-10-24,64,brentstein@example.org,+1-930-916-5712x0826,Germany,Berlin,BR000002,Sales Executive,75888,Retail,Low,Pending,2019-12-03
CUS00000093,Nicole,Mitchell,Female,1964-12-14,61,velezchristopher@example.net,480.626.2067,France,Paris,BR000016,Data Analyst,57995,Retail,Low,Verified,2017-03-01
CUS00000094,Adam,Bradley,Male,1952-10-30,73,justin88@example.com,(687)443-1527,United Kingdom,Manchester,BR000018,Research Scientist,48356,Retail,Medium,Verified,2016-10-07
CUS00000095,Norman,Gibbs,Male,1984-03-02,42,gregorychase@example.com,(585)916-1227x53046,United States,New York,BR000004,Financial Analyst,55766,Retail,Low,Verified,2021-01-26
CUS00000096,Troy,Turner,Male,1994-09-21,31,greenmichael@example.org,6177426841,Switzerland,Geneva,BR000014,Accountant,202634,Private Banking,Low,Verified,2020-04-14
CUS00000097,Colleen,Anderson,Female,1955-12-15,70,madkins@example.com,(387)283-3918x78519,Germany,Frankfurt,BR000048,Business Consultant,48833,Retail,High,Verified,2025-11-04
CUS00000098,Stephanie,Harris,Female,1982-01-18,44,franklinbond@example.com,439-871-8707,United Kingdom,Manchester,BR000021,Teacher,127708,Premium,Low,Verified,2024-04-19
CUS00000099,Kristy,Hansen,Female,1991-04-24,35,jennifer64@example.org,001-639-810-6518x0170,United Kingdom,Manchester,BR000018,Nurse,115728,Premium,High,Verified,2019-08-04
CUS00000100,Patricia,Cannon,Female,1995-02-27,31,ybrooks@example.com,(261)282-5128x6823,Australia,Melbourne,BR000017,Student,107091,Premium,Medium,Verified,2021-08-08
CUS00000101,Joel,Ball,Male,1974-05-23,52,pmorrow@example.com,(324)231-0690x331,Singapore,Singapore,BR000049,Entrepreneur,158885,Private Banking,Low,Verified,2024-02-15
CUS00000102,Kyle,Warner,Male,1948-11-03,77,joymorales@example.org,+1-730-528-4395,France,Paris,BR000043,Sales Executive,92910,Premium,Low,Verified,2021-08-30
CUS00000103,Shawn,Odom,Male,1980-12-31,45,roberthill@example.net,001-726-887-0568,United Arab Emirates,Dubai,BR000022,Student,339158,Private Banking,Low,Verified,2023-06-22
CUS00000104,Brittany,Bennett,Female,1996-11-13,29,oallen@example.com,001-627-508-6688x263,Germany,Berlin,BR000030,Financial Analyst,68862,Retail,Low,Verified,2022-02-23
CUS00000105,Maria,Nielsen,Female,2003-03-06,23,christopher30@example.com,(299)501-3983x7354,Singapore,Singapore,BR000009,Software Engineer,122848,Premium,Low,Verified,2019-10-05
CUS00000106,Victor,Wilson,Male,1996-11-10,29,srocha@example.net,001-636-738-5467x854,United Arab Emirates,Dubai,BR000003,Project Manager,293085,Private Banking,Low,Verified,2025-04-02
CUS00000107,Sonya,Owens,Female,2000-02-29,26,ugill@example.org,(856)609-3204x899,Canada,Montreal,BR000045,Research Scientist,124659,Premium,Low,Verified,2019-02-14
CUS00000108,Craig,Hall,Male,1984-04-21,42,victorpena@example.net,247-377-2522x87280,Germany,Frankfurt,BR000005,Doctor,73566,Retail,Low,Verified,2017-05-09
CUS00000109,Pamela,Gutierrez,Female,2002-11-12,23,carloshernandez@example.org,275.609.9770x08860,United States,Dallas,BR000012,Marketing Manager,169062,Private Banking,Low,Verified,2025-08-22
CUS00000110,Vanessa,Smith,Female,2000-11-12,25,ldrake@example.org,682-833-9845,France,Paris,BR000043,Research Scientist,78112,Retail,Low,Verified,2017-11-15
CUS00000111,Jake,Sullivan,Male,1983-12-24,42,veronicaperez@example.net,201-466-6870,Switzerland,Geneva,BR000014,Research Scientist,101629,Premium,Low,Verified,2017-12-07
CUS00000112,Jonathan,Hamilton,Male,1998-11-27,27,ariel18@example.org,239.474.0148,Australia,Sydney,BR000007,Doctor,75105,Retail,Medium,Verified,2021-11-17
CUS00000113,Alexis,Clark,Female,1955-05-05,71,thickman@example.org,001-739-268-5621,Switzerland,Zurich,BR000020,Student,96352,Premium,Low,Verified,2018-03-10
CUS00000114,Jeffrey,Roberson,Male,1968-09-15,57,unovak@example.org,+1-647-573-5866x2961,Switzerland,Zurich,BR000044,Software Engineer,149237,Premium,Medium,Verified,2017-10-11
CUS00000115,Bradley,Moore,Male,1993-12-16,32,jodistewart@example.org,404-875-4121,United Kingdom,Manchester,BR000018,Marketing Manager,42146,Retail,Low,Pending,2024-03-01
CUS00000116,Kristin,Hunt,Female,1952-07-23,73,davisangela@example.net,+1-456-804-6618x398,Australia,Sydney,BR000013,Student,63446,Retail,Low,Verified,2019-05-31
CUS00000117,Brenda,Turner,Female,1979-02-01,47,bryanhamilton@example.com,671-254-3799x3712,France,Paris,BR000016,Financial Analyst,89733,Premium,Low,Verified,2023-04-05
CUS00000118,Evelyn,Oliver,Female,2000-03-31,26,scott69@example.org,759-837-5265x4793,Canada,Vancouver,BR000011,Student,54953,Retail,Low,Verified,2021-04-18
CUS00000119,Robert,Long,Male,1953-04-12,73,brittanygardner@example.net,001-480-873-7416x72434,Canada,Montreal,BR000045,Teacher,59887,Retail,Medium,Pending,2022-12-10
CUS00000120,Benjamin,Ewing,Male,1978-02-21,48,sferguson@example.com,+1-405-289-1135,France,Paris,BR000008,Data Analyst,64530,Retail,Low,Verified,2026-02-09
CUS00000121,William,Byrd,Male,1972-09-21,53,tammy61@example.org,943-788-8993,United Kingdom,Birmingham,BR000032,Marketing Manager,136671,Premium,Low,Verified,2023-03-08
CUS00000122,Julie,Frazier,Female,1992-07-06,34,michaeljohnson@example.org,961-312-5457x3875,United States,Dallas,BR000012,Lawyer,157415,Private Banking,Low,Verified,2023-12-25
CUS00000123,Nathan,Chavez,Male,1950-02-06,76,bradley10@example.com,+1-812-438-2825x8673,United Arab Emirates,Abu Dhabi,BR000047,Accountant,188940,Private Banking,Low,Verified,2019-09-13
CUS00000124,Martin,Reynolds,Male,1947-07-08,79,shannonjordan@example.org,001-933-341-9182x553,Singapore,Singapore,BR000010,Teacher,81439,Premium,Low,Verified,2020-12-28
CUS00000125,Megan,Burns,Female,1989-01-08,37,candice96@example.net,355-479-2499,Germany,Frankfurt,BR000048,Research Scientist,94048,Premium,Low,Verified,2021-11-09
CUS00000126,Bruce,Torres,Male,1957-12-26,68,heather86@example.com,+1-629-466-2782x827,Canada,Toronto,BR000031,Research Scientist,77762,Retail,Low,Verified,2019-09-17
CUS00000127,Ernest,Hayes,Male,1949-03-06,77,stephanie72@example.org,(588)676-7677x2190,Switzerland,Zurich,BR000044,Entrepreneur,131190,Premium,Low,Verified,2017-01-31
CUS00000128,Donald,Medina,Male,1956-12-22,69,xcunningham@example.com,+1-281-991-4858,United Kingdom,Manchester,BR000021,Data Analyst,90723,Premium,Low,Verified,2025-10-27
CUS00000129,Colleen,Coleman,Female,1995-08-13,30,kennethkidd@example.com,451-571-3395x962,United Arab Emirates,Dubai,BR000041,Data Analyst,154572,Private Banking,Low,Verified,2020-01-18
CUS00000130,Renee,Hudson,Female,1981-10-01,44,candice25@example.net,449-748-1260x4223,France,Paris,BR000027,Data Analyst,89560,Premium,Low,Verified,2020-09-27
CUS00000131,Pam,Lowe,Female,1978-11-02,47,barbaraadams@example.com,(371)916-8457x7590,United Kingdom,Manchester,BR000040,Marketing Manager,70683,Retail,Low,Verified,2022-08-15
CUS00000132,Samuel,Flynn,Male,1972-08-05,53,tammysummers@example.com,354-958-9297x500,France,Marseille,BR000039,Research Scientist,88626,Premium,Low,Verified,2016-10-21
CUS00000133,Caleb,Mathews,Male,1975-07-24,50,bsmith@example.org,001-824-624-1541x520,United Arab Emirates,Dubai,BR000006,Accountant,200022,Private Banking,Medium,Verified,2020-07-05
CUS00000134,Jeffrey,Davis,Male,1952-01-03,74,lewischristian@example.net,987.300.5162,United Arab Emirates,Abu Dhabi,BR000028,Sales Executive,221301,Private Banking,Low,Verified,2020-06-03
CUS00000135,Janet,Cross,Female,1952-07-01,74,edwardsnicole@example.org,(822)918-9092x7532,United Kingdom,Manchester,BR000018,Accountant,103021,Premium,Low,Verified,2020-03-22
CUS00000136,Angelica,Garcia,Female,1996-09-25,29,lawrencepatrick@example.com,523-841-3899x94043,Switzerland,Zurich,BR000044,Data Analyst,198902,Private Banking,Low,Verified,2021-07-22
CUS00000137,Maria,Bowers,Female,1999-07-19,26,troyrodriguez@example.com,+1-491-980-5526x9658,Germany,Berlin,BR000030,Student,48710,Retail,Low,Verified,2017-10-08
CUS00000138,Alice,Jones,Female,1963-05-16,63,billbrown@example.com,348.566.6188x92414,Canada,Montreal,BR000035,Accountant,77777,Retail,High,Verified,2019-03-04
CUS00000139,Joshua,Myers,Male,1988-09-10,37,collinssamuel@example.org,6314617990,Singapore,Singapore,BR000049,Data Analyst,109614,Premium,Low,Verified,2018-07-24
CUS00000140,Alexandria,Taylor,Female,1946-04-21,80,tylerreed@example.net,001-642-352-4105x6481,Canada,Montreal,BR000045,Student,107449,Premium,High,Verified,2024-12-19
CUS00000141,Jordan,Ward,Female,1979-07-12,47,michaelscott@example.org,001-913-780-0030,United Arab Emirates,Abu Dhabi,BR000034,Software Engineer,296660,Private Banking,Low,Verified,2023-01-16
CUS00000142,Tami,White,Female,2003-11-18,22,tranrobin@example.net,+1-263-453-6541x9518,Switzerland,Zurich,BR000044,Nurse,185878,Private Banking,Low,Verified,2020-04-28
CUS00000143,Robert,Jarvis,Male,1972-10-24,53,wileymichelle@example.com,918-570-5349x49375,Australia,Melbourne,BR000017,Project Manager,87752,Premium,Medium,Verified,2025-10-29
CUS00000144,Philip,Sanchez,Male,1945-12-18,80,ijohnson@example.com,+1-405-606-4138x3670,Canada,Toronto,BR000050,Sales Executive,122578,Premium,Medium,Verified,2018-02-10
CUS00000145,Amanda,Hall,Female,2003-01-25,23,xhaynes@example.com,001-519-618-2619x9062,Canada,Toronto,BR000015,Software Engineer,112199,Premium,Low,Verified,2020-12-19
CUS00000146,Samuel,Howe,Male,1972-04-08,54,louis43@example.org,729.812.1277,Australia,Melbourne,BR000033,Data Analyst,110482,Premium,Low,Verified,2018-08-01
CUS00000147,Kimberly,Oconnell,Female,1959-08-29,66,qparker@example.org,524-790-3521,United Arab Emirates,Dubai,BR000006,Research Scientist,346795,Private Banking,Low,Verified,2023-04-09
CUS00000148,Kayla,Byrd,Female,1963-03-27,63,anthonysullivan@example.com,+1-283-517-1210,United Arab Emirates,Dubai,BR000041,Project Manager,207785,Private Banking,Low,Verified,2018-10-02
CUS00000149,Craig,Morales,Male,1992-03-25,34,aguilarjonathan@example.org,9132721510,Switzerland,Zurich,BR000044,Lawyer,88300,Premium,Medium,Verified,2019-05-21
CUS00000150,Tammy,Hamilton,Female,1994-10-29,31,ycrawford@example.net,(625)932-4472x09993,Canada,Toronto,BR000050,Marketing Manager,143247,Premium,Low,Verified,2023-07-16
CUS00000151,Sonya,Mendoza,Female,1951-07-02,75,patrick63@example.net,638.406.5787x59856,Switzerland,Geneva,BR000025,Student,198356,Private Banking,Low,Verified,2016-12-20
CUS00000152,Emma,Robinson,Female,2006-06-27,20,brian78@example.com,001-493-421-3348x03965,Germany,Berlin,BR000002,Marketing Manager,78573,Retail,Medium,Verified,2020-07-20
